type,group,id,name,dnaScore,grade,effectiveGrade,flashMode,metricTension,livingScore,pinFlashScore,simFlashScore,angleSpreadScore,detail,mRange,rRange,ccRange,darkGlossPct,darkVoidPct,firstRepair,topWeakness
monolithic,Specials,aniso_circular_chrome,Aniso Circular Chrome,45,D,Provisional Rework - proof/intent review required before forcing material rewrite,mixed,true,47,4,13,92,29,67,150,190,0,0,rebalance-practical-sim-lighting,Living score is 47; the finish is not changing enough across light angles.
monolithic,Specials,aniso_crosshatch_steel,Aniso Crosshatch Steel,44,D,Hard Rework,mixed,true,40,6,26,93,22,102,191,159,0,0,rebalance-practical-sim-lighting,Living score is 40; the finish is not changing enough across light angles.
monolithic,Specials,aniso_diagonal_candy,Aniso Diagonal Candy,50,D,Hard Rework,mixed,false,39,37,13,92,27,166,182,167,0,0,rebalance-practical-sim-lighting,Living score is 39; the finish is not changing enough across light angles.
monolithic,Specials,aniso_herringbone_gold,Aniso Herringbone Gold,44,D,Hard Rework,mixed,true,41,6,14,92,27,117,169,170,0,0,rebalance-practical-sim-lighting,Living score is 41; the finish is not changing enough across light angles.
monolithic,Specials,aniso_horizontal_chrome,Aniso Horizontal Chrome,42,D,Hard Rework,mixed,true,42,5,15,93,26,62,143,178,0,0,widen-spec-channel-spectrum,Living score is 42; the finish is not changing enough across light angles.
monolithic,Specials,aniso_radial_metallic,Aniso Radial Metallic,45,D,Hard Rework,mixed,true,42,6,14,92,30,125,169,174,0,0,rebalance-practical-sim-lighting,Living score is 42; the finish is not changing enough across light angles.
monolithic,Specials,aniso_spiral_mercury,Aniso Spiral Mercury,40,D,Hard Rework,mixed,true,38,5,14,94,22,68,155,181,0,0,rebalance-practical-sim-lighting,Living score is 38; the finish is not changing enough across light angles.
monolithic,Specials,aniso_turbulence_metal,Aniso Turbulence Metal,52,D,Hard Rework,mixed,false,34,37,25,94,31,125,185,176,0,0,rebalance-practical-sim-lighting,Living score is 34; the finish is not changing enough across light angles.
monolithic,Specials,aniso_vertical_pearl,Aniso Vertical Pearl,53,D,Hard Rework,mixed,false,33,51,27,92,23,199,197,147,0,0,rebalance-practical-sim-lighting,Living score is 33; the finish is not changing enough across light angles.
monolithic,Specials,aniso_wave_titanium,Aniso Wave Titanium,49,D,Hard Rework,heroBand,false,43,37,13,92,21,173,208,159,0,0,rebalance-practical-sim-lighting,Living score is 43; the finish is not changing enough across light angles.
monolithic,Specials,art_nouveau_vine,Art Nouveau Vine,37,D,Hard Rework,mixed,true,23,28,13,92,16,150,89,127,0,0,widen-spec-channel-spectrum,Living score is 23; the finish is not changing enough across light angles.
monolithic,Specials,aurora,Aurora,41,D,Hard Rework,mixed,true,24,35,18,91,19,168,43,179,0,0,widen-spec-channel-spectrum,Living score is 24; the finish is not changing enough across light angles.
monolithic,Specials,aurora_borealis_mono,Aurora Borealis Mono,51,D,Hard Rework,mixed,false,33,37,16,91,38,180,99,206,0,0,rebalance-practical-sim-lighting,Living score is 33; the finish is not changing enough across light angles.
monolithic,Specials,aurora_glow,Aurora Glow,47,D,Hard Rework,mixed,true,31,32,18,90,28,219,86,145,100,0,rebalance-practical-sim-lighting,Living score is 31; the finish is not changing enough across light angles.
monolithic,Specials,banshee,Banshee,50,D,Hard Rework,mixed,true,27,6,76,91,18,181,70,227,0,0,sharpen-flash-islands,Living score is 27; the finish is not changing enough across light angles.
monolithic,Specials,baroque_scrollwork,Baroque Scrollwork,40,D,Hard Rework,mixed,true,27,7,13,93,32,117,94,144,0,0,widen-spec-channel-spectrum,Living score is 27; the finish is not changing enough across light angles.
monolithic,Specials,bioluminescent_wave,Bioluminescent Wave,48,D,Hard Rework,heroBand,true,31,30,19,91,30,219,84,163,0,0,rebalance-practical-sim-lighting,Living score is 31; the finish is not changing enough across light angles.
monolithic,Specials,black_ice,Black Ice,50,D,Hard Rework,mixed,false,35,36,16,92,65,154,101,148,100,0,rebalance-practical-sim-lighting,Living score is 35; the finish is not changing enough across light angles.
monolithic,Specials,blackbody,Blackbody,37,D,Hard Rework,mixed,true,40,6,17,92,4,245,196,100,0,0,rebalance-practical-sim-lighting,Living score is 40; the finish is not changing enough across light angles.
monolithic,Specials,blacklight_paint,Blacklight Paint,46,D,Hard Rework,mixed,true,33,27,17,92,27,219,90,155,0,0,rebalance-practical-sim-lighting,Living score is 33; the finish is not changing enough across light angles.
monolithic,Specials,blizzard,Blizzard,49,D,Hard Rework,mixed,false,31,36,16,91,53,146,86,138,0,0,widen-spec-channel-spectrum,Living score is 31; the finish is not changing enough across light angles.
monolithic,Specials,blood_oath,Blood Oath,54,D,Hard Rework,mixed,false,33,37,33,94,30,227,78,231,100,0,rebalance-practical-sim-lighting,Living score is 33; the finish is not changing enough across light angles.
monolithic,Specials,brushed_metal_fine,Brushed Metal Fine,35,D,Hard Rework,mixed,true,21,26,13,93,13,112,101,121,0,0,widen-spec-channel-spectrum,Living score is 21; the finish is not changing enough across light angles.
monolithic,Specials,catacombs,Catacombs,39,D,Hard Rework,mixed,true,28,4,20,92,18,170,86,236,100,0,rebalance-practical-sim-lighting,Living score is 28; the finish is not changing enough across light angles.
monolithic,Specials,cc_acid_burn,Cc Acid Burn,51,D,Hard Rework,mixed,true,37,30,14,91,44,177,160,157,100,0,rebalance-practical-sim-lighting,Living score is 37; the finish is not changing enough across light angles.
monolithic,Specials,cc_blood_orange,Cc Blood Orange,52,D,Provisional Rework - proof/intent review required before forcing material rewrite,mixed,true,51,4,14,93,50,166,206,222,0,0,rebalance-practical-sim-lighting,Living score is 51; the finish is not changing enough across light angles.
monolithic,Specials,cc_bruised_sky,Cc Bruised Sky,56,D,Hard Rework,mixed,true,39,35,26,92,48,188,185,199,0,0,rebalance-practical-sim-lighting,Living score is 39; the finish is not changing enough across light angles.
monolithic,Specials,cc_candy_poison,Cc Candy Poison,57,D,Provisional Rework - proof/intent review required before forcing material rewrite,mixed,true,65,30,13,75,42,170,187,221,100,0,rebalance-practical-sim-lighting,Living score is 65; the finish is not changing enough across light angles.
monolithic,Specials,cc_chaos_theory,Cc Chaos Theory,36,D,Hard Rework,mixed,true,45,5,13,77,9,248,223,0,100,0,rebalance-practical-sim-lighting,Living score is 45; the finish is not changing enough across light angles.
monolithic,Specials,cc_chemical_spill,Cc Chemical Spill,51,D,Hard Rework,mixed,false,41,36,14,76,60,128,170,224,0,0,rebalance-practical-sim-lighting,Living score is 41; the finish is not changing enough across light angles.
monolithic,Specials,cc_coral_venom,Cc Coral Venom,54,D,Hard Rework,mixed,true,43,27,26,77,62,183,182,221,0,0,rebalance-practical-sim-lighting,Living score is 43; the finish is not changing enough across light angles.
monolithic,Specials,cc_deep_friction,Cc Deep Friction,52,D,Hard Rework,mixed,true,39,24,13,91,52,201,156,222,0,0,rebalance-practical-sim-lighting,Living score is 39; the finish is not changing enough across light angles.
monolithic,Specials,cc_digital_rot,Cc Digital Rot,52,D,Hard Rework,mixed,true,37,13,26,93,38,180,188,210,0,0,rebalance-practical-sim-lighting,Living score is 37; the finish is not changing enough across light angles.
monolithic,Specials,cc_electric_conflict,Cc Electric Conflict,52,D,Hard Rework,heroBand,false,36,38,15,92,29,151,204,224,0,0,rebalance-practical-sim-lighting,Living score is 36; the finish is not changing enough across light angles.
monolithic,Specials,cc_fever_dream,Cc Fever Dream,53,D,Hard Rework,mixed,true,40,18,25,91,47,164,186,222,0,0,rebalance-practical-sim-lighting,Living score is 40; the finish is not changing enough across light angles.
monolithic,Specials,cc_flash_burn,Cc Flash Burn,54,D,Hard Rework,mixed,true,40,31,27,75,50,152,227,225,0,0,rebalance-practical-sim-lighting,Living score is 40; the finish is not changing enough across light angles.
monolithic,Specials,cc_magma_freeze,Cc Magma Freeze,67,C,Provisional Rework - proof/intent review required before forcing material rewrite,mixed,false,74,49,26,91,76,160,215,218,0,0,rebalance-practical-sim-lighting,Practical sim flash is low (26); it may only look alive in one special lighting condition.
monolithic,Specials,cc_neon_bruise,Cc Neon Bruise,55,D,Hard Rework,heroBand,false,42,36,14,91,54,151,195,224,0,0,rebalance-practical-sim-lighting,Living score is 42; the finish is not changing enough across light angles.
monolithic,Specials,cc_neon_war,Cc Neon War,54,C,Provisional Rework - proof/intent review required before forcing material rewrite,heroBand,false,46,36,13,76,79,149,215,225,0,0,rebalance-practical-sim-lighting,Living score is 46; the finish is not changing enough across light angles.
monolithic,Specials,cc_nuclear_dawn,Cc Nuclear Dawn,47,D,Hard Rework,mixed,true,34,21,26,75,27,202,157,215,100,0,rebalance-practical-sim-lighting,Living score is 34; the finish is not changing enough across light angles.
monolithic,Specials,cc_plasma_edge,Cc Plasma Edge,49,D,Hard Rework,mixed,true,42,5,13,91,59,143,207,227,0,0,rebalance-practical-sim-lighting,Living score is 42; the finish is not changing enough across light angles.
